ITEMCODE,DESCRIPTION,GENERIC NAME,UOM,PRICE
260303,ALLISIN CHEWABLE TABLET 10MG B100'S,LORATADINE,PCS,16.5
254710,ALNIX 10MG TABLET 100'S,CETIRIZINE,PCS,28.65
254712,ALNIX 2.5MG DROPS 10ML,CETIRIZINE,BOT,186.5
254711,ALNIX 5MG SYRUP 30ML,CETIRIZINE,BOT,162.15
255880,ALNIX 5MG SYRUP 60ML,CETIRIZINE,BOT,267.45
256633,ALNIX PLUS 60ML SYRUP,CETIRIZINE+,BOT,292.45
257694,ALNIX PLUS TABLET 100'S,CETIRIZINE,PCS,21.8
250389,ALVEDON 500MG TABLET BOX 250 PACK 100,PARACETAMOL,PCS,3.75
253404,AMBROXOL ULG 30MG TABLET 100'S,AMBROXOL,PCS,7
255904,AMPALAYA PLUS CAPSULE 90'S,FOOD SUPPLEMENT,PCS,7.5
257458,AMPALAYA PLUS JR 450MG 90'S,FOOD SUPPLEMENT,PCS,6.5
257815,ANASERAN 500MG TABLET 100'S,PARACETAMOL,PCS,2.2
258470,ANASERAN SYRUP 250MG/5ML 60ML,PARACETAMOL,BOT,71.5
250134,ANTIOX CHOCO 10ML SUSPENSION,MEBENDAZOLE,BOT,183.55
251903,ANTIOX CHOCO 500MG TABLET 36'S,MEBENDAZOLE,PCS,108.2
257432,APPEBON KID 250ML SYRUP,BUCLIZINE,BOT,335.45
255041,APPEBON KID SYRUP 120ML,BUCLIZINE,BOT,181.25
254943,APPEBON KID SYRUP 60ML,BUCLIZINE,BOT,109.7
250447,ASCOF 300MG TABLET 100'S,LAGUNDI,PCS,4.85
258228,ASCOF CAPSULE 600MG BOX120 PACK60,LAGUNDI,PCS,7.55
252625,ASCOF FORTE 600MG TABLET BOX60 &120,LAGUNDI,PCS,7.55
258229,ASCOF FORTE MENTHOL 600MG SYRUP 120ML,LAGUNDI,BOT,193.15
258230,ASCOF FORTE MENTHOL 600MG SYRUP 60ML,LAGUNDI,BOT,134.7
254937,ASCOF SYRUP 300MG 120ML,LAGUNDI,BOT,146.7
253267,ASCOF SYRUP 300MG 60ML,LAGUNDI,BOT,102.8
250053,ASCORBIC ACID IPH 500MG 100'S TABLET,ASCORBIC ACID,PCS,2.65
258829,ASCORBIC ACID UL 100MG 120ML,ASCORBIC ACID,BOT,95
250057,ASCORBIC ACID ULG 500MG BOT/BOX100'S,ASCORBIC ACID,PCS,2.2
257059,ASCORBIC DMG 100MG TABLET 100'S,ASCORBIC ACID,PCS,0.9
257060,ASCORBIC DMG 500MG TABLET 100'S,ASCORBIC ACID,PCS,3.6
259845,ASCORTIN 100/100MG CHEWABLE TABLET 100'S,ASCORBIC ACID,PCS,6.2
259846,ASCORTIN 500/500MG CHEWABLE TABLET 80'S,ASCORBIC ACID,PCS,22.1
193988,ASCOZIN 500MG TABLET PACK30 BOX100,ASCORBIC ACID,PCS,7.7
254353,BACTIFREE 10G OINTMENT,MUPIROCIN,TUBE,464.8
254352,BACTIFREE 5G OINTMENT,MUPIROCIN,TUBE,275.55
250523,BACTROBAN OINTMENT 15G,MUPIROCIN,TUBE,875.6
250524,BACTROBAN OINTMENT 5G,MUPIROCIN,TUBE,365.2
260198,BEAU C 500MG CAPSULE B100'S,SODIUM ASCORBATE,PCS,4.95
257337,"BELO GLUTATHIONE +COLLAGEN BT60,PK10",GLUTATHIONE,PCS,48
251556,BENADRYL EXP SYRUP 60ML,GUAIFENESIN,BOT,109.4
251558,BENADRYL PLAIN 120ML SYRUP,DIPHENHYDRAMINE,BOT,235.9
251559,BENADRYL PLAIN 60ML SYRUP,DIPHENHYDRAMINE,BOT,152.9
258323,BEROCCA EFFERVESCENT TABLET CITRUS 15'S,VITAMIN B-COMPLEX,PCS,22.25
260409,BEROCCA EFFERVESCENT TABLET ORANGE 10'S,VITAMIN A,PCS,22.25
260298,BEROCCA EFFERVESCENT TABLET ORANGE 15'S,VITAMIN A,PCS,22.25
259378,BEROCCA EFFERVESCENT BOX24,VITAMIN B-COMPLEX,PCS,22.65
252660,BEROCCA EFFERVESCENT CASE20 BOX10,VITAMIN B-COMPLEX,PCS,22.25
260376,BEROCCA MANGO ORANGE 15'S,MULTIVITAMINS+MINERALS,PCS,22.25
258367,BEROCCA PERFORMANCE MIXED BERRIES 15'S,VITAMIN B-COMPLEX,PCS,22.25
260140,BETADINE COLD DEFENCE KIDS NASAL SPRAY,POVIDONE-I,BOT,319
259287,BIOFLU NON-DROWSY CAPSULE B100'S,PHENYLPROPANOLAMINE,PCS,9.25
257871,BIOFLU SUSPENSION 60ML,PHENYLPROPANOLAMINE,BOT,124.85
254080,BIOFLU TABLET 100'S,PHENYLPROPANOLAMINE,PCS,7.45
258950,BIOGESIC 325MG TABLET B100'S,PARACETAMOL,PCS,2.9
250182,BIOGESIC 500MG CAPLET 500'S,PARACETAMOL,PCS,3.7
253610,BIOGESIC ORANGE 120MG 60ML,PARACETAMOL,BOT,83.75
253609,BIOGESIC ORANGE 250MG 60ML,PARACETAMOL,BOT,131.7
253608,BIOGESIC ORANGE DROPS 15ML,PARACETAMOL,BOT,70.85
253663,BIOGESIC STRAWBERRY 120/60ML,PARACETAMOL,BOT,83.75
253664,BIOGESIC STRAWBERRY 250/60ML,PARACETAMOL,BOT,131.7
258022,BIOZINC 60ML 55MG/5ML SYRUP,ZINC SULFATE,BOT,95.7
258830,BISACODYL 5MG UL TABLET BOX100'S,BISACODYL,PCS,15.65
253507,BISOLVON FORTE 16MG CAPSULE 120'S,BROMHEXINE,PCS,18.3
253703,BISOLVON PEDIA 4MG 120ML,BROMHEXINE,BOT,257.4
253702,BISOLVON PEDIA 4MG 60ML,BROMHEXINE,BOT,138.6
250754,BONAMINE CHEWABLE 12.5 MG 120'S,MECLIZINE,PCS,10.6
